hournorain,t2mmax,t2mmean,t2mmin,tprecmax,t2m,ts,qv2m,prectot,speed,dmc,fwi,dsr,dc,isi,bui,ffmc,fcount_terra,frp_terra,fcount_aqua,frp_aqua,year,month,day
0.7679,-0.7408,-0.6406,-0.6003,-0.4047,-0.6406,-0.5395,0.4304,-0.394,-0.6808,-0.8118,-0.6646,-0.8701,-1.335,-0.7257,-0.9347,0.0456,10,0.26,0,0,2005,8,19
1.0849,0.2165,0.1471,0.0529,-0.5724,0.1471,-0.0072,0.188,-0.6061,-1.1251,-0.7076,-0.4493,-0.6676,-1.3014,-0.5732,-0.8215,0.1976,1,0.01,8,0.16,2005,8,20
0.79,0.5351,0.7089,0.5804,-0.4841,0.7089,0.6193,-0.0573,-0.4379,-0.9949,-0.6449,-0.4372,-0.5901,-1.2798,-0.548,-0.7487,0.3403,0,0,11,3.66,2005,8,21
0.816,0.872,0.9508,0.5982,-0.4303,0.9508,0.8853,-0.3909,-0.4458,-1.2126,-0.577,-0.3264,-0.5352,-1.2523,-0.4906,-0.6736,0.607,10,0.44,7,0.18,2005,8,22
0.7002,0.5928,0.8615,0.7054,-0.6496,0.8615,0.7317,-0.3678,-0.5552,-0.2241,-0.518,0.8577,0.7822,-1.2277,0.9727,-0.613,0.6848,32,5.58,35,9.48,2005,8,23
1.224,0.0624,0.0684,-0.0515,-0.4776,0.0684,0.0558,-0.2492,-0.4159,0.9696,-0.4818,0.8185,0.7817,-1.2129,0.8884,-0.5727,0.5197,57,7.39,38,4.37,2005,8,24
0.7903,0.0856,0.0757,0.1095,-0.6064,0.0757,0.1347,0.0558,-0.5284,-0.2365,-0.4432,0.0607,-0.1172,-1.197,-0.1404,-0.5302,0.4775,34,3.44,28,5.53,2005,8,25
0.8506,0.6252,0.6396,0.6217,-0.4443,0.6396,0.6498,-0.0306,-0.4907,-1.2319,-0.4123,-0.1304,-0.305,-1.1851,-0.3485,-0.4956,0.5675,20,0.57,10,1.69,2005,8,26
1.2024,0.9716,1.0084,0.7397,-0.5056,1.0084,0.9656,0.0604,-0.5365,-0.2001,-0.3651,0.09,-0.0724,-1.1702,-0.1119,-0.4465,0.7116,21,2.3,28,3.17,2005,8,27
1.4678,1.2055,0.9625,0.6373,-0.367,0.9625,0.818,-0.3584,-0.3753,-0.2778,-0.3806,0.2726,0.1044,-1.1556,0.0544,-0.4493,0.6788,9,0.22,12,1.18,2005,8,28
1.278,0.6152,0.371,-0.0015,-0.4334,0.371,0.2614,-0.5949,-0.3666,1.7194,-0.3267,2.0135,2.3253,-1.1403,2.3992,-0.3962,0.6545,27,5.16,46,5.6,2005,8,29
1.0625,0.2126,-0.6072,-1.0819,-0.6086,-0.6072,-0.431,-1.3427,-0.5112,1.896,-0.2617,0.2795,0.0648,-1.1009,0.0066,-0.3282,0.7275,21,1.66,0,0,2005,8,30
1.7533,0.1191,-0.2587,-0.6009,-0.6052,-0.2587,-0.3014,-1.7374,-0.5525,-0.2907,-0.2118,0.1945,0.0316,-1.0783,-0.0393,-0.2753,0.9241,12,0.19,5,0.38,2005,8,31
-0.5193,0.6598,0.745,0.6438,-0.4693,0.745,0.4083,-0.0156,-0.3919,-0.4883,-0.2055,0.7089,0.6685,-0.1733,0.7978,-0.1349,0.49,6,0.19,2,0.14,2006,6,1
-1.0186,0.5486,0.7098,1.0459,-0.104,0.7098,0.5001,0.8196,-0.033,0.2969,-0.1442,0.6383,0.7126,-0.1588,0.8226,-0.0849,0.2498,3,0.03,2,0.03,2006,6,2
-0.7695,0.7178,0.7285,0.8532,-0.2298,0.7285,0.748,1.7346,-0.2532,-0.7805,-0.1031,-0.2498,-0.2889,-0.146,-0.3025,-0.0545,0.265,3,0.05,3,0.21,2006,6,3
-0.7993,0.8429,1.0697,1.2461,-0.642,1.0697,0.9853,1.5189,-0.6493,-0.111,-0.0208,0.4305,0.3025,-0.1281,0.3305,0.0118,0.4556,1,0.02,2,0.05,2006,6,4
-0.0527,1.0098,1.0014,0.8804,-0.554,1.0014,1.0166,1.3568,-0.4844,-0.7562,0.077,-0.0649,-0.2684,-0.1071,-0.2796,0.0878,0.5054,9,0.31,8,2.55,2006,6,5
-0.4288,1.0788,1.2118,1.4584,-0.4508,1.2118,1.0713,1.364,-0.5046,-0.872,0.1706,0.4949,0.5453,-0.0845,0.5226,0.1651,0.6122,6,0.15,1,0.02,2006,6,6
-1.0642,0.7676,0.937,1.4437,0.5933,0.937,0.8011,1.765,0.0724,-0.3163,0.0848,-0.0128,-0.1758,-0.0772,-0.1494,0.0923,0.2603,0,0,6,0.17,2006,6,7
-0.4069,0.0197,0.3781,0.7256,3.5913,0.3781,0.4035,2.0245,1.9861,-0.2484,-0.1945,-0.5381,-0.6345,-0.0874,-0.6337,-0.1376,-0.2458,9,0.31,2,0.11,2006,6,8
0.0121,-0.005,0.2674,0.4714,1.8166,0.2674,0.2908,1.1804,1.6346,0.1912,-0.2182,0.2501,0.3168,-0.0891,0.3011,-0.169,-0.1316,24,1.43,10,1.31,2006,6,9
0.6934,-0.1143,-0.0893,-0.2621,-0.498,-0.0893,0.0526,0.223,-0.5015,-0.3183,-0.1969,-0.2995,-0.3675,-0.0799,-0.4084,-0.1522,0.1832,22,1.01,33,1.55,2006,6,10
